source,case_id,selection,B,D,E,F,H,I,K,L,M,N,O,P,Q,T,U,X,Y,AA,AB,AC,AD,AE,AF
fixture,baseline,1X,0.9299999999999999,0.07,0.01,0.9199999999999999,0.9199999999999999,0.0,PASS,16.0,1.0,DEFENSIV,PASS,PASS,N/A,0,PASS,0.08,0.08,YES,N/A,0.0,READY,YES,FĂRĂ ISTORIC
fixture,baseline,X2,0.17500000000000002,0.825,0.01,0.165,0.18,-0.014999999999999986,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.82,0.825,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,baseline,12,0.895,0.10500000000000001,0.01,0.885,0.8999999999999999,-0.014999999999999902,PASS,22.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,price_invariance,1X,0.9299999999999999,0.07,0.01,0.9199999999999999,0.9199999999999999,0.0,PASS,16.0,1.0,DEFENSIV,PASS,PASS,N/A,0,PASS,0.08,0.08,YES,N/A,0.0,READY,YES,FĂRĂ ISTORIC
fixture,price_invariance,X2,0.17500000000000002,0.825,0.01,0.165,0.18,-0.014999999999999986,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.82,0.825,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,price_invariance,12,0.895,0.10500000000000001,0.01,0.885,0.8999999999999999,-0.014999999999999902,PASS,22.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,early_season_A,1X,0.9299999999999999,0.07,0.045,0.8849999999999999,0.9199999999999999,-0.03500000000000003,PASS,23.0,2.0,PRUDENT,PASS,PASS,N/A,0,PASS,0.08,0.08,YES,N/A,0.0,READY,NO,FĂRĂ ISTORIC
fixture,early_season_A,X2,0.17500000000000002,0.825,0.045,0.13,0.18,-0.04999999999999999,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.82,0.825,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,early_season_A,12,0.895,0.10500000000000001,0.045,0.85,0.8999999999999999,-0.04999999999999993,PASS,26.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,early_season_C,1X,0.9299999999999999,0.07,0.07,0.8599999999999999,0.9199999999999999,-0.06000000000000005,PASS,28.0,2.0,PRUDENT,PASS,PASS,N/A,0,PASS,0.08,0.08,YES,N/A,0.0,READY,NO,FĂRĂ ISTORIC
fixture,early_season_C,X2,0.17500000000000002,0.825,0.07,0.10500000000000001,0.18,-0.07499999999999998,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.82,0.825,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,early_season_C,12,0.895,0.10500000000000001,0.07,0.825,0.8999999999999999,-0.07499999999999996,PASS,29.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,sample_boundary_8,1X,0.9299999999999999,0.07,0.01,0.9199999999999999,0.9199999999999999,0.0,PASS,16.0,1.0,DEFENSIV,PASS,PASS,N/A,0,PASS,0.08,0.08,YES,N/A,0.0,READY,YES,FĂRĂ ISTORIC
fixture,sample_boundary_8,X2,0.17500000000000002,0.825,0.01,0.165,0.18,-0.014999999999999986,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.82,0.825,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,sample_boundary_8,12,0.895,0.10500000000000001,0.01,0.885,0.8999999999999999,-0.014999999999999902,PASS,22.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,prior_pending,1X,,,0.045,,0.9199999999999999,,INPUT,,,VERIFICARE NECESARĂ – NO RANK,PASS,INPUT,N/A,0,INPUT,0.08,,NO,N/A,0.0,PENDING,NO,FĂRĂ ISTORIC
fixture,prior_pending,X2,,,0.045,,0.18,,INPUT,,,VERIFICARE NECESARĂ – NO RANK,FAIL,INPUT,N/A,0.0,INPUT,0.82,,NO,N/A,0,PENDING,NO,FĂRĂ ISTORIC
fixture,prior_pending,12,,,0.045,,0.8999999999999999,,INPUT,,,VERIFICARE NECESARĂ – NO RANK,N/A,N/A,INPUT,0,INPUT,0.1,,NO,N/A,0,PENDING,NO,FĂRĂ ISTORIC
fixture,prior_missing,1X,,,0.045,,0.9199999999999999,,FAIL,,5.0,NO BET,PASS,INPUT,N/A,0,INPUT,0.08,,NO,N/A,0.0,CRITICAL MISSING,NO,FĂRĂ ISTORIC
fixture,prior_missing,X2,,,0.045,,0.18,,FAIL,,5.0,NO BET,FAIL,INPUT,N/A,0.0,INPUT,0.82,,NO,N/A,0,CRITICAL MISSING,NO,FĂRĂ ISTORIC
fixture,prior_missing,12,,,0.045,,0.8999999999999999,,FAIL,,5.0,NO BET,N/A,N/A,INPUT,0,INPUT,0.1,,NO,N/A,0,CRITICAL MISSING,NO,FĂRĂ ISTORIC
fixture,global_pending,1X,,,0.01,,0.9199999999999999,,INPUT,,,VERIFICARE NECESARĂ – NO RANK,PASS,INPUT,N/A,0,INPUT,0.08,,NO,N/A,0.0,PENDING,NO,FĂRĂ ISTORIC
fixture,global_pending,X2,,,0.01,,0.18,,INPUT,,,VERIFICARE NECESARĂ – NO RANK,FAIL,INPUT,N/A,0.0,INPUT,0.82,,NO,N/A,0,PENDING,NO,FĂRĂ ISTORIC
fixture,global_pending,12,,,0.01,,0.8999999999999999,,INPUT,,,VERIFICARE NECESARĂ – NO RANK,N/A,N/A,INPUT,0,INPUT,0.1,,NO,N/A,0,PENDING,NO,FĂRĂ ISTORIC
fixture,critical_missing,1X,,,0.01,,0.9199999999999999,,FAIL,,5.0,NO BET,INPUT,INPUT,N/A,0,INPUT,0.08,,NO,N/A,0.0,CRITICAL MISSING,NO,FĂRĂ ISTORIC
fixture,critical_missing,X2,,,0.01,,0.18,,FAIL,,5.0,NO BET,INPUT,INPUT,N/A,0.0,INPUT,0.82,,NO,N/A,0,CRITICAL MISSING,NO,FĂRĂ ISTORIC
fixture,critical_missing,12,,,0.01,,0.8999999999999999,,FAIL,,5.0,NO BET,N/A,N/A,INPUT,0,INPUT,0.1,,NO,N/A,0,CRITICAL MISSING,NO,FĂRĂ ISTORIC
fixture,invalid_distribution,1X,,,0.01,,0.9199999999999999,,INPUT,,,INPUT INVALID – NO RANK,PASS,INPUT,N/A,0,INPUT,0.08,,NO,N/A,0.0,INVALID,NO,FĂRĂ ISTORIC
fixture,invalid_distribution,X2,,,0.01,,0.18,,INPUT,,,INPUT INVALID – NO RANK,FAIL,INPUT,N/A,0.0,INPUT,0.82,,NO,N/A,0,INVALID,NO,FĂRĂ ISTORIC
fixture,invalid_distribution,12,,,0.01,,0.8999999999999999,,INPUT,,,INPUT INVALID – NO RANK,N/A,N/A,INPUT,0,INPUT,0.1,,NO,N/A,0,INVALID,NO,FĂRĂ ISTORIC
fixture,normalize_sum_102,1X,0.9207843137254902,0.07921568627450981,0.01,0.9107843137254902,0.9199999999999999,-0.009215686274509749,PASS,16.0,1.0,DEFENSIV,PASS,PASS,N/A,0,PASS,0.08,0.08,YES,N/A,0.0,READY,YES,FĂRĂ ISTORIC
fixture,normalize_sum_102,X2,0.18323529411764705,0.816764705882353,0.01,0.17323529411764704,0.18,-0.0067647058823529505,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.82,0.82,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,normalize_sum_102,12,0.8959803921568628,0.10401960784313724,0.01,0.8859803921568628,0.8999999999999999,-0.01401960784313716,PASS,22.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10401960784313724,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,invalid_sum,1X,,,0.01,,0.9199999999999999,,INPUT,,,INPUT INVALID – NO RANK,PASS,INPUT,N/A,0,INPUT,0.08,,NO,N/A,0.0,INVALID,NO,FĂRĂ ISTORIC
fixture,invalid_sum,X2,,,0.01,,0.18,,INPUT,,,INPUT INVALID – NO RANK,FAIL,INPUT,N/A,0.0,INPUT,0.82,,NO,N/A,0,INVALID,NO,FĂRĂ ISTORIC
fixture,invalid_sum,12,,,0.01,,0.8999999999999999,,INPUT,,,INPUT INVALID – NO RANK,N/A,N/A,INPUT,0,INPUT,0.1,,NO,N/A,0,INVALID,NO,FĂRĂ ISTORIC
fixture,official_pending_allowed,1X,0.9299999999999999,0.07,0.01,0.9199999999999999,0.9199999999999999,0.0,PASS,16.0,1.0,DEFENSIV,PASS,PASS,N/A,0,PASS,0.08,0.08,YES,N/A,0.0,READY,YES,FĂRĂ ISTORIC
fixture,official_pending_allowed,X2,0.17500000000000002,0.825,0.01,0.165,0.18,-0.014999999999999986,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.82,0.825,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,official_pending_allowed,12,0.895,0.10500000000000001,0.01,0.885,0.8999999999999999,-0.014999999999999902,PASS,22.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,context_unresolved,1X,,,0.01,,0.9199999999999999,,INPUT,,,VERIFICARE NECESARĂ – NO RANK,PASS,INPUT,N/A,0,INPUT,0.08,,NO,N/A,0.0,PENDING,NO,FĂRĂ ISTORIC
fixture,context_unresolved,X2,,,0.01,,0.18,,INPUT,,,VERIFICARE NECESARĂ – NO RANK,FAIL,INPUT,N/A,0.0,INPUT,0.82,,NO,N/A,0,PENDING,NO,FĂRĂ ISTORIC
fixture,context_unresolved,12,,,0.01,,0.8999999999999999,,INPUT,,,VERIFICARE NECESARĂ – NO RANK,N/A,N/A,INPUT,0,INPUT,0.1,,NO,N/A,0,PENDING,NO,FĂRĂ ISTORIC
fixture,fragility_open,1X,0.9299999999999999,0.07,0.01,0.9199999999999999,0.9199999999999999,0.0,INPUT,,,VERIFICARE NECESARĂ – NO RANK,PASS,PASS,N/A,0,PASS,0.08,0.08,NO,PENDING,0.0,PENDING,NO,FĂRĂ ISTORIC
fixture,fragility_open,X2,0.17500000000000002,0.825,0.01,0.165,0.18,-0.014999999999999986,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.82,0.825,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,fragility_open,12,0.895,0.10500000000000001,0.01,0.885,0.8999999999999999,-0.014999999999999902,PASS,22.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,fragility_material,1X,0.9299999999999999,0.07,0.01,0.9199999999999999,0.9199999999999999,0.0,PASS,16.0,2.0,PRUDENT,PASS,PASS,N/A,0,PASS,0.08,0.08,YES,MATERIAL,1,READY,NO,FĂRĂ ISTORIC
fixture,fragility_material,X2,0.17500000000000002,0.825,0.01,0.165,0.18,-0.014999999999999986,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.82,0.825,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,fragility_material,12,0.895,0.10500000000000001,0.01,0.885,0.8999999999999999,-0.014999999999999902,PASS,22.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,fragility_review,1X,0.9299999999999999,0.07,0.01,0.9199999999999999,0.9199999999999999,0.0,PASS,16.0,1.0,DEFENSIV,PASS,PASS,N/A,0,PASS,0.08,0.08,YES,REVIEW,0.0,READY,YES,FĂRĂ ISTORIC
fixture,fragility_review,X2,0.17500000000000002,0.825,0.01,0.165,0.18,-0.014999999999999986,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.82,0.825,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,fragility_review,12,0.895,0.10500000000000001,0.01,0.885,0.8999999999999999,-0.014999999999999902,PASS,22.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,fragility_source_invalid,1X,0.9299999999999999,0.07,0.01,0.9199999999999999,0.9199999999999999,0.0,INPUT,,,VERIFICARE NECESARĂ – NO RANK,PASS,PASS,N/A,0,PASS,0.08,0.08,NO,PASS,0.0,PENDING,NO,FĂRĂ ISTORIC
fixture,fragility_source_invalid,X2,0.17500000000000002,0.825,0.01,0.165,0.18,-0.014999999999999986,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.82,0.825,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,fragility_source_invalid,12,0.895,0.10500000000000001,0.01,0.885,0.8999999999999999,-0.014999999999999902,PASS,22.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,away_context_pending,1X,0.9299999999999999,0.07,0.01,0.9199999999999999,0.9199999999999999,0.0,PASS,16.0,1.0,DEFENSIV,PASS,PASS,N/A,0,PASS,0.08,0.08,YES,N/A,0.0,READY,YES,FĂRĂ ISTORIC
fixture,away_context_pending,X2,0.17500000000000002,0.825,0.01,0.165,0.18,-0.014999999999999986,INPUT,,,VERIFICARE NECESARĂ – NO RANK,FAIL,FAIL,N/A,,FAIL,0.82,0.825,NO,N/A,0,PENDING,NO,FĂRĂ ISTORIC
fixture,away_context_pending,12,0.895,0.10500000000000001,0.01,0.885,0.8999999999999999,-0.014999999999999902,PASS,22.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,away_favorite_surcharge_1,1X,0.17500000000000002,0.825,0.01,0.165,0.18,-0.014999999999999986,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0,FAIL,0.82,0.825,NO,N/A,0.0,READY,NO,FĂRĂ ISTORIC
fixture,away_favorite_surcharge_1,X2,0.9299999999999999,0.07,0.01,0.9199999999999999,0.9199999999999999,0.0,PASS,21.0,2.0,PRUDENT,PASS,PASS,N/A,5,PASS,0.08,0.08,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,away_favorite_surcharge_1,12,0.895,0.10500000000000001,0.01,0.885,0.8999999999999999,-0.014999999999999902,PASS,22.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,away_favorite_surcharge_2,1X,0.17500000000000002,0.825,0.01,0.165,0.18,-0.014999999999999986,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0,FAIL,0.82,0.825,NO,N/A,0.0,READY,NO,FĂRĂ ISTORIC
fixture,away_favorite_surcharge_2,X2,0.9299999999999999,0.07,0.01,0.9199999999999999,0.9199999999999999,0.0,PASS,26.0,2.0,PRUDENT,PASS,PASS,N/A,10,PASS,0.08,0.08,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,away_favorite_surcharge_2,12,0.895,0.10500000000000001,0.01,0.885,0.8999999999999999,-0.014999999999999902,PASS,22.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.1,0.10500000000000001,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,draw_pass_20,1X,0.8899999999999999,0.10999999999999999,0.01,0.8799999999999999,0.8899999999999999,-0.010000000000000009,PASS,22.0,2.0,PRUDENT,PASS,PASS,N/A,0,PASS,0.10999999999999999,0.10999999999999999,YES,N/A,0.0,READY,NO,FĂRĂ ISTORIC
fixture,draw_pass_20,X2,0.3,0.7,0.01,0.29,0.3,-0.010000000000000009,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.7,0.7,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,draw_pass_20,12,0.8099999999999999,0.19,0.01,0.7999999999999999,0.8099999999999999,-0.010000000000000009,PASS,39.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.19,0.19,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,draw_prudent_23,1X,0.9199999999999999,0.07999999999999999,0.01,0.9099999999999999,0.9199999999999999,-0.010000000000000009,PASS,16.0,1.0,DEFENSIV,PASS,PASS,N/A,0,PASS,0.07999999999999999,0.07999999999999999,YES,N/A,0.0,READY,YES,FĂRĂ ISTORIC
fixture,draw_prudent_23,X2,0.3,0.7,0.01,0.29,0.3,-0.010000000000000009,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.7,0.7,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,draw_prudent_23,12,0.7799999999999999,0.22,0.01,0.7699999999999999,0.7799999999999999,-0.010000000000000009,PRUDENT,55.0,3.0,MODERAT,N/A,N/A,PRUDENT,0,PRUDENT,0.22,0.22,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,draw_watch_26,1X,0.95,0.04999999999999999,0.01,0.94,0.95,-0.010000000000000009,PASS,11.0,1.0,DEFENSIV,PASS,PASS,N/A,0,PASS,0.04999999999999999,0.04999999999999999,YES,N/A,0.0,READY,YES,FĂRĂ ISTORIC
fixture,draw_watch_26,X2,0.3,0.7,0.01,0.29,0.3,-0.010000000000000009,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.7,0.7,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,draw_watch_26,12,0.75,0.25,0.01,0.74,0.75,-0.010000000000000009,WATCH,86.0,5.0,WATCH,N/A,N/A,WATCH,0,WATCH,0.25,0.25,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,draw_fail_above26,1X,0.9501,0.0499,0.01,0.9400999999999999,0.9501,-0.010000000000000009,PASS,11.0,1.0,DEFENSIV,PASS,PASS,N/A,0,PASS,0.0499,0.0499,YES,N/A,0.0,READY,YES,FĂRĂ ISTORIC
fixture,draw_fail_above26,X2,0.3,0.7,0.01,0.29,0.3,-0.010000000000000009,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.7,0.7,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,draw_fail_above26,12,0.7499,0.2501,0.01,0.7399,0.7499,-0.010000000000000009,FAIL,100,5.0,NO BET,N/A,N/A,FAIL,0,FAIL,0.2501,0.2501,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,market_pass30,1X,0.7,0.3,0.01,0.69,0.7,-0.010000000000000009,PASS,56.0,3.0,MODERAT,PASS,PASS,N/A,0,PASS,0.3,0.3,YES,N/A,0.0,READY,NO,FĂRĂ ISTORIC
fixture,market_pass30,X2,0.5,0.5,0.01,0.49,0.5,-0.010000000000000009,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.5,0.5,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,market_pass30,12,0.8,0.2,0.01,0.79,0.8,-0.010000000000000009,PRUDENT,51.0,3.0,MODERAT,N/A,N/A,PRUDENT,0,PRUDENT,0.2,0.2,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,market_prudent35,1X,0.65,0.35,0.01,0.64,0.65,-0.010000000000000009,PRUDENT,75.0,4.0,RIDICAT,PRUDENT,PASS,N/A,0,PRUDENT,0.35,0.35,YES,N/A,0.0,READY,NO,FĂRĂ ISTORIC
fixture,market_prudent35,X2,0.5,0.5,0.01,0.49,0.5,-0.010000000000000009,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.5,0.5,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,market_prudent35,12,0.85,0.15000000000000002,0.01,0.84,0.85,-0.010000000000000009,PASS,31.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.15000000000000002,0.15000000000000002,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,market_fail_above35,1X,0.6498999999999999,0.3501,0.01,0.6398999999999999,0.6498999999999999,-0.010000000000000009,FAIL,100,5.0,NO BET,FAIL,PASS,N/A,0,FAIL,0.3501,0.3501,NO,N/A,0.0,READY,NO,FĂRĂ ISTORIC
fixture,market_fail_above35,X2,0.5,0.5,0.01,0.49,0.5,-0.010000000000000009,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.5,0.5,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,market_fail_above35,12,0.8501000000000001,0.14989999999999998,0.01,0.8401000000000001,0.8501000000000001,-0.010000000000000009,PASS,31.0,2.0,PRUDENT,N/A,N/A,PASS,0,PASS,0.14989999999999998,0.14989999999999998,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
fixture,strength_minus5,1X,0.6499999999999999,0.35,0.01,0.6399999999999999,0.6499999999999999,-0.010000000000000009,PRUDENT,85.0,5.0,WATCH,PRUDENT,PRUDENT,N/A,0,PRUDENT,0.35,0.35,NO,N/A,0.0,READY,NO,FĂRĂ ISTORIC
