match_id,match,liga,selection,data_status,sample_status,prior_status,shrinkage_applied,p_model,p_market,delta_model_market_pp,p_scoreline,p_strength,p_market_component,p_scoreline_raw,p_strength_raw,n_current_home,n_current_away,n_prior_home,n_prior_away,weight_current,weight_prior,haircut_total,p_adj,scoreline_strength_gap,model_top1,market_top1,scoreline_top1,strength_top1,scoreline_raw_top1,strength_raw_top1,pdraw_model,pdraw_market,lambda_home_scoreline,lambda_away_scoreline,lambda_home_scoreline_raw,lambda_away_scoreline_raw
8419397,Central Córdoba SdE vs Defensa y Justicia,,1X,CRITICAL MISSING,VERIFIED,,NU,,0.6551724138,,0.6467511824,0.5716293169,0.6551724138,0.6467511824,0.5716293169,12,12,390,390,1,0,0.025,,0.0758857302,,0.3448275862,0.3818409404,0.4283706831,0.3818409404,0.4283706831,,0.3103448276,1.320833333,1.26,1.320833333,1.26
8419397,Central Córdoba SdE vs Defensa y Justicia,,X2,CRITICAL MISSING,VERIFIED,,NU,,0.6551724138,,0.6181590596,0.6940447898,0.6551724138,0.6181590596,0.6940447898,12,12,390,390,1,0,0.025,,0.0758857302,,0.3448275862,0.3818409404,0.4283706831,0.3818409404,0.4283706831,,0.3103448276,1.320833333,1.26,1.320833333,1.26
8419397,Central Córdoba SdE vs Defensa y Justicia,,12,CRITICAL MISSING,VERIFIED,,NU,,0.6896551724,,0.735089758,0.7343258933,0.6896551724,0.735089758,0.7343258933,12,12,390,390,1,0,0.025,,0.0758857302,,0.3448275862,0.3818409404,0.4283706831,0.3818409404,0.4283706831,,0.3103448276,1.320833333,1.26,1.320833333,1.26
8391086,New York City vs New York RB,USA MLS,1X,READY,VERIFIED,,NU,0.7069154362,0.7650700554,-5.815461917,0.7008852475,0.6608211946,0.7650700554,0.7008852475,0.6608211946,13,13,372,372,1,0,0.025,0.6819154362,0.05137987125,0.4743759202,0.5369827305,0.4706336072,0.4192537359,0.4706336072,0.4192537359,0.232539516,0.2280873249,1.790769231,1.388076923,1.790769231,1.388076923
8391086,New York City vs New York RB,USA MLS,X2,READY,VERIFIED,,NU,0.5256240798,0.4630172695,6.260681031,0.5293663928,0.5807462641,0.4630172695,0.5293663928,0.5807462641,13,13,372,372,1,0,0.025,0.5006240798,0.05137987125,0.4743759202,0.5369827305,0.4706336072,0.4192537359,0.4706336072,0.4192537359,0.232539516,0.2280873249,1.790769231,1.388076923,1.790769231,1.388076923
8391086,New York City vs New York RB,USA MLS,12,READY,VERIFIED,,NU,0.767460484,0.7719126751,-0.4452191144,0.7697483597,0.7584325414,0.7719126751,0.7697483597,0.7584325414,13,13,372,372,1,0,0.025,0.742460484,0.05137987125,0.4743759202,0.5369827305,0.4706336072,0.4192537359,0.4706336072,0.4192537359,0.232539516,0.2280873249,1.790769231,1.388076923,1.790769231,1.388076923
8419475,Racing Club vs Sarmiento,,1X,CRITICAL MISSING,VERIFIED,,NU,,0.8160976825,,0.7402918294,0.6652756313,0.8160976825,0.7402918294,0.6652756313,12,12,390,390,1,0,0.025,,0.08810405284,,0.5606777972,0.4911143386,0.4030102858,0.4911143386,0.4030102858,,0.2554198854,1.598333333,1.091666667,1.598333333,1.091666667
8419475,Racing Club vs Sarmiento,,X2,CRITICAL MISSING,VERIFIED,,NU,,0.4393222028,,0.5088856614,0.5969897142,0.4393222028,0.5088856614,0.5969897142,12,12,390,390,1,0,0.025,,0.08810405284,,0.5606777972,0.4911143386,0.4030102858,0.4911143386,0.4030102858,,0.2554198854,1.598333333,1.091666667,1.598333333,1.091666667
8419475,Racing Club vs Sarmiento,,12,CRITICAL MISSING,VERIFIED,,NU,,0.7445801146,,0.7508225092,0.7377346545,0.7445801146,0.7508225092,0.7377346545,12,12,390,390,1,0,0.025,,0.08810405284,,0.5606777972,0.4911143386,0.4030102858,0.4911143386,0.4030102858,,0.2554198854,1.598333333,1.091666667,1.598333333,1.091666667
8612443,Stefanesti vs Metaloglobus,Romania Liga II,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.6447009476,0.5113772455,13.33237021,0.7242235369,0.6189794713,0.5113772455,0.6925269002,0.5618954168,3,3,77,77,0.0375,0.9625,0.045,0.5997009476,0.1137218587,0.4010043933,0.4886227545,0.4897853994,0.3810205287,0.4753220323,0.4381045832,0.2436965544,0.262994012,1.75440625,1.26203125,1.9725,1.559166667
