match_id,match,selection,pfail_model,pfail_market,pfail_dc,haircut_base,haircut_early,haircut_total,risk_failure_component,risk_haircut_component,prudent_gate_surcharge,draw_watch_surcharge,gate_fail_surcharge,away_favorite_surcharge,fragility_status,fragility_level_surcharge,risk_score_before_cap,risk_score_final,risk_level,market_direction,protected_strength,draw_gate,p0_final,verdict,pdraw_model_raw,pdraw_model_after_haircut,pdraw_market,pdraw_adjusted
8419397,Central Córdoba SdE vs Defensa y Justicia,1X,,0.3448275862,,0.025,0,0.025,,5,10,0,0,0,N/A,0,,,5,PRUDENT,INPUT,N/A,INPUT,NO BET,,,,
8419397,Central Córdoba SdE vs Defensa y Justicia,X2,,0.3448275862,,0.025,0,0.025,,5,10,0,0,0,N/A,0,,,5,PRUDENT,INPUT,N/A,INPUT,NO BET,,,,
8419397,Central Córdoba SdE vs Defensa y Justicia,12,,0.3103448276,,0.025,0,0.025,,3,0,0,0,0,N/A,0,,,5,N/A,N/A,INPUT,INPUT,NO BET,,,0.3103448276,
8391086,New York City vs New York RB,1X,0.2930845638,0.2349299446,0.2930845638,0.025,0,0.025,52.75522148,5,0,0,0,0,N/A,0,58,58,3,PASS,PASS,N/A,PASS,MODERAT,,,,
8391086,New York City vs New York RB,X2,0.4743759202,0.5369827305,0.5369827305,0.025,0,0.025,96.6568915,5,0,0,60,0,N/A,0,162,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8391086,New York City vs New York RB,12,0.232539516,0.2280873249,0.232539516,0.025,0,0.025,46.5079032,3,0,35,0,0,N/A,0,85,85,5,N/A,N/A,WATCH,WATCH,WATCH,0.232539516,0.257539516,0.2280873249,0.257539516
8419475,Racing Club vs Sarmiento,1X,,0.1839023175,,0.025,0,0.025,,5,0,0,0,0,N/A,0,,,5,PASS,INPUT,N/A,INPUT,NO BET,,,,
8419475,Racing Club vs Sarmiento,X2,,0.5606777972,,0.025,0,0.025,,5,0,0,0,0,N/A,0,,,5,FAIL,INPUT,N/A,INPUT,NO BET,,,,
8419475,Racing Club vs Sarmiento,12,,0.2554198854,,0.025,0,0.025,,3,0,0,0,0,N/A,0,,,5,N/A,N/A,INPUT,INPUT,NO BET,,,0.2554198854,
8612443,Stefanesti vs Metaloglobus,1X,0.3552990524,0.4886227545,0.4886227545,0.025,0.02,0.045,87.95209581,9,0,0,60,0,N/A,0,157,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8612443,Stefanesti vs Metaloglobus,X2,0.4010043933,0.2483832335,0.4010043933,0.025,0.02,0.045,72.18079079,9,0,0,0,0,N/A,0,81,81,5,PASS,PASS,N/A,PASS,WATCH,,,,
8612443,Stefanesti vs Metaloglobus,12,0.2436965544,0.262994012,0.262994012,0.025,0.02,0.045,52.5988024,5.4,0,60,0,0,N/A,0,118,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2436965544,0.2886965544,0.262994012,0.2886965544
8612487,Unirea Slobozia vs Chindia Târgovişte,1X,0.3505572038,0.4684759916,0.4684759916,0.025,0.02,0.045,84.3256785,9,0,0,60,0,N/A,0,153,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8612487,Unirea Slobozia vs Chindia Târgovişte,X2,0.4041892455,0.2617954071,0.4041892455,0.025,0.02,0.045,72.75406418,9,0,0,0,0,N/A,0,82,82,5,PASS,PASS,N/A,PASS,WATCH,,,,
8612487,Unirea Slobozia vs Chindia Târgovişte,12,0.2452535508,0.2697286013,0.2697286013,0.025,0.02,0.045,53.94572025,5.4,0,60,0,0,N/A,0,119,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2452535508,0.2902535508,0.2697286013,0.2902535508
8612492,Slatina vs Viitorul Şelimbăr,1X,0.2547624369,0.1143534561,0.2547624369,0.025,0.02,0.045,45.85723865,9,0,0,0,0,N/A,0,55,55,3,PASS,PASS,N/A,PASS,MODERAT,,,,
8612492,Slatina vs Viitorul Şelimbăr,X2,0.5196094892,0.6930512493,0.6930512493,0.025,0.02,0.045,124.7492249,9,0,0,60,0,N/A,0,194,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8612492,Slatina vs Viitorul Şelimbăr,12,0.2256280739,0.1925952945,0.2256280739,0.025,0.02,0.045,45.12561478,5.4,0,60,0,0,N/A,0,111,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2256280739,0.2706280739,0.1925952945,0.2706280739
8612564,FC Bacău vs FC Cetatea Suceava,1X,0.2833249955,0.2136005116,0.2833249955,0.025,0.02,0.045,50.99849918,9,0,0,0,0,N/A,0,60,60,3,PASS,PASS,N/A,PASS,MODERAT,,,,
8612564,FC Bacău vs FC Cetatea Suceava,X2,0.4762051571,0.5371988915,0.5371988915,0.025,0.02,0.045,96.69580047,9,0,0,60,0,N/A,0,166,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8612564,FC Bacău vs FC Cetatea Suceava,12,0.2404698474,0.2492005969,0.2492005969,0.025,0.02,0.045,49.84011938,5.4,0,60,0,0,N/A,0,115,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2404698474,0.2854698474,0.2492005969,0.2854698474
8612599,CSM Satu Mare vs Afumaţi,1X,0.353180854,0.4735376045,0.4735376045,0.025,0.02,0.045,85.2367688,9,0,0,60,0,N/A,0,154,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8612599,CSM Satu Mare vs Afumaţi,X2,0.4013996309,0.2632311978,0.4013996309,0.025,0.02,0.045,72.25193356,9,0,0,0,0,N/A,0,81,81,5,PASS,PASS,N/A,PASS,WATCH,,,,
8612599,CSM Satu Mare vs Afumaţi,12,0.2454195151,0.2632311978,0.2632311978,0.025,0.02,0.045,52.64623955,5.4,0,60,0,0,N/A,0,118,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2454195151,0.2904195151,0.2632311978,0.2904195151
8612613,CSA Steaua Bucureşti vs ACS Gloria Bistrita,1X,0.3097905812,0.2896479758,0.3097905812,0.025,0.02,0.045,55.76230462,9,0,0,0,0,N/A,0,65,65,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8612613,CSA Steaua Bucureşti vs ACS Gloria Bistrita,X2,0.4441352582,0.442319569,0.4441352582,0.025,0.02,0.045,79.94434648,9,0,0,60,0,N/A,0,149,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8612613,CSA Steaua Bucureşti vs ACS Gloria Bistrita,12,0.2460741606,0.2680324552,0.2680324552,0.025,0.02,0.045,53.60649104,5.4,0,60,0,0,N/A,0,119,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2460741606,0.2910741606,0.2680324552,0.2910741606
8612623,Concordia Chiajna vs Metalul Buzău,1X,0.3044435586,0.2785764887,0.3044435586,0.025,0.02,0.045,54.79984055,9,0,0,0,0,N/A,0,64,64,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8612623,Concordia Chiajna vs Metalul Buzău,X2,0.4525430139,0.4667250073,0.4667250073,0.025,0.02,0.045,84.01050131,9,0,0,60,0,N/A,0,153,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8612623,Concordia Chiajna vs Metalul Buzău,12,0.2430134274,0.254698504,0.254698504,0.025,0.02,0.045,50.9397008,5.4,0,60,0,0,N/A,0,116,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2430134274,0.2880134274,0.254698504,0.2880134274
8553047,Avispa Fukuoka vs Sanfrecce Hiroshima,1X,0.3849517964,0.5315222206,0.5315222206,0.025,0.02,0.045,95.6739997,9,0,0,60,0,N/A,0,165,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8553047,Avispa Fukuoka vs Sanfrecce Hiroshima,X2,0.3704084548,0.2219105271,0.3704084548,0.025,0.02,0.045,66.67352186,9,0,0,0,0,N/A,0,76,76,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8553047,Avispa Fukuoka vs Sanfrecce Hiroshima,12,0.2446397488,0.2465672523,0.2465672523,0.025,0.02,0.045,49.31345047,5.4,0,60,0,0,N/A,0,115,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2446397488,0.2896397488,0.2465672523,0.2896397488
8553172,Kawasaki Frontale vs Kashima Antlers,1X,0.3482371331,0.3961397491,0.3961397491,0.025,0.02,0.045,71.30515484,9,10,0,60,0,N/A,0,150,100,5,FAIL,PRUDENT,N/A,FAIL,NO BET,,,,
8553172,Kawasaki Frontale vs Kashima Antlers,X2,0.4101325611,0.3640636561,0.4101325611,0.025,0.02,0.045,73.82386099,9,0,0,60,0,N/A,0,143,100,5,FAIL,PASS,N/A,FAIL,NO BET,,,,
8553172,Kawasaki Frontale vs Kashima Antlers,12,0.2416303058,0.2397965948,0.2416303058,0.025,0.02,0.045,48.32606116,5.4,0,60,0,0,N/A,0,114,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2416303058,0.2866303058,0.2397965948,0.2866303058
8553053,Urawa Reds vs Tokyo Verdy,1X,0.2990246452,0.2023121387,0.2990246452,0.025,0.02,0.045,53.82443613,9,0,0,0,0,N/A,0,63,63,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8553053,Urawa Reds vs Tokyo Verdy,X2,0.4512176629,0.5317919075,0.5317919075,0.025,0.02,0.045,95.72254335,9,0,0,60,0,N/A,0,165,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8553053,Urawa Reds vs Tokyo Verdy,12,0.2497576919,0.2658959538,0.2658959538,0.025,0.02,0.045,53.17919075,5.4,0,60,0,0,N/A,0,119,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2497576919,0.2947576919,0.2658959538,0.2947576919
8553168,V-Varen Nagasaki vs Cerezo Osaka,1X,0.3639209138,0.4764605786,0.4764605786,0.025,0.02,0.045,85.76290414,9,0,0,60,0,N/A,0,155,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8553168,V-Varen Nagasaki vs Cerezo Osaka,X2,0.3891629983,0.2654566081,0.3891629983,0.025,0.02,0.045,70.04933969,9,0,0,0,0,N/A,0,79,79,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8553168,V-Varen Nagasaki vs Cerezo Osaka,12,0.2469160879,0.2580828134,0.2580828134,0.025,0.02,0.045,51.61656268,5.4,0,60,0,0,N/A,0,117,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2469160879,0.2919160879,0.2580828134,0.2919160879
8553366,Shimizu S-Pulse vs JEF United,1X,0.30573411,0.2453138947,0.30573411,0.025,0.02,0.045,55.03213981,9,0,0,0,0,N/A,0,64,64,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8553366,Shimizu S-Pulse vs JEF United,X2,0.4424395203,0.4805117525,0.4805117525,0.025,0.02,0.045,86.49211544,9,0,0,60,0,N/A,0,155,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8553366,Shimizu S-Pulse vs JEF United,12,0.2518263697,0.2741743529,0.2741743529,0.025,0.02,0.045,54.83487057,5.4,0,60,0,0,N/A,0,120,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2518263697,0.2968263697,0.2741743529,0.2968263697
8612588,Popești-Leordeni vs ASU Poli Timişoara,1X,0.3523869746,0.4711118576,0.4711118576,0.025,0.02,0.045,84.80013436,9,0,0,60,0,N/A,0,154,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8612588,Popești-Leordeni vs ASU Poli Timişoara,X2,0.4023889556,0.2604971448,0.4023889556,0.025,0.02,0.045,72.430012,9,0,0,0,0,N/A,0,81,81,5,PASS,PASS,N/A,PASS,WATCH,,,,
8612588,Popești-Leordeni vs ASU Poli Timişoara,12,0.2452240698,0.2683909976,0.2683909976,0.025,0.02,0.045,53.67819953,5.4,0,60,0,0,N/A,0,119,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2452240698,0.2902240698,0.2683909976,0.2902240698
8553086,Fagiano Okayama vs Kyoto Sanga,1X,0.3048102077,0.24393211,0.3048102077,0.025,0.02,0.045,54.86583739,9,0,0,0,0,N/A,0,64,64,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8553086,Fagiano Okayama vs Kyoto Sanga,X2,0.4471661523,0.4956909187,0.4956909187,0.025,0.02,0.045,89.22436536,9,0,0,60,0,N/A,0,158,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8553086,Fagiano Okayama vs Kyoto Sanga,12,0.24802364,0.2603769713,0.2603769713,0.025,0.02,0.045,52.07539427,5.4,0,60,0,0,N/A,0,117,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.24802364,0.29302364,0.2603769713,0.29302364
8553173,Tokyo vs Nagoya Grampus,1X,0.3026097056,0.23703586,0.3026097056,0.025,0.02,0.045,54.46974701,9,0,0,0,0,N/A,0,63,63,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8553173,Tokyo vs Nagoya Grampus,X2,0.4532212056,0.5164468457,0.5164468457,0.025,0.02,0.045,92.96043223,9,0,0,60,0,N/A,0,162,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8553173,Tokyo vs Nagoya Grampus,12,0.2441690888,0.2465172943,0.2465172943,0.025,0.02,0.045,49.30345887,5.4,0,60,0,0,N/A,0,115,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2441690888,0.2891690888,0.2465172943,0.2891690888
8553048,Yokohama F. Marinos vs Mito Hollyhock,1X,0.3225842964,0.2953042689,0.3225842964,0.025,0.02,0.045,58.06517335,9,0,0,0,0,N/A,0,67,67,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8553048,Yokohama F. Marinos vs Mito Hollyhock,X2,0.4296878339,0.445880208,0.445880208,0.025,0.02,0.045,80.25843744,9,0,0,60,0,N/A,0,149,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8553048,Yokohama F. Marinos vs Mito Hollyhock,12,0.2477278697,0.2588155231,0.2588155231,0.025,0.02,0.045,51.76310461,5.4,0,60,0,0,N/A,0,117,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2477278697,0.2927278697,0.2588155231,0.2927278697
8546412,Dunav 2010 vs Botev Vratsa,1X,0.3328451647,0.3563218391,0.3563218391,0.025,0.02,0.045,64.13793103,9,0,0,60,0,N/A,0,133,100,5,FAIL,PASS,N/A,FAIL,NO BET,,,,
8546412,Dunav 2010 vs Botev Vratsa,X2,0.4027353219,0.3563218391,0.4027353219,0.025,0.02,0.045,72.49235795,9,0,0,60,0,N/A,0,141,100,5,FAIL,PASS,N/A,FAIL,NO BET,,,,
8546412,Dunav 2010 vs Botev Vratsa,12,0.2644195134,0.2873563218,0.2873563218,0.025,0.02,0.045,57.47126437,5.4,0,60,0,0,N/A,0,123,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2644195134,0.3094195134,0.2873563218,0.3094195134
8572750,Kaiserslautern vs Eintracht Braunschweig,1X,0.3488944913,0.2683381683,0.3488944913,0.025,0.02,0.045,62.80100843,9,0,0,0,0,N/A,0,72,72,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8572750,Kaiserslautern vs Eintracht Braunschweig,X2,0.4203676947,0.4786572731,0.4786572731,0.025,0.02,0.045,86.15830916,9,0,0,60,0,N/A,0,155,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8572750,Kaiserslautern vs Eintracht Braunschweig,12,0.2307378141,0.2530045586,0.2530045586,0.025,0.02,0.045,50.60091173,5.4,0,60,0,0,N/A,0,116,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2307378141,0.2757378141,0.2530045586,0.2757378141
8572816,Holstein Kiel vs Osnabrück,1X,0.3429678131,0.2519440124,0.3429678131,0.025,0.02,0.045,61.73420636,9,0,0,0,0,N/A,0,71,71,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8572816,Holstein Kiel vs Osnabrück,X2,0.432177305,0.5178849145,0.5178849145,0.025,0.02,0.045,93.2192846,9,0,0,60,0,N/A,0,162,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8572816,Holstein Kiel vs Osnabrück,12,0.2248548819,0.2301710731,0.2301710731,0.025,0.02,0.045,46.03421462,5.4,0,60,0,0,N/A,0,111,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2248548819,0.2698548819,0.2301710731,0.2698548819
8572872,Karlsruher SC vs Nürnberg,1X,,,,0.025,0.02,0.045,,9,0,0,0,0,N/A,0,,,5,INPUT,INPUT,N/A,INPUT,NO BET,,,,
8572872,Karlsruher SC vs Nürnberg,X2,,,,0.025,0.02,0.045,,9,0,0,0,0,N/A,0,,,5,INPUT,INPUT,N/A,INPUT,NO BET,,,,
8572872,Karlsruher SC vs Nürnberg,12,,,,0.025,0.02,0.045,,5.4,0,0,0,0,N/A,0,,,5,N/A,N/A,INPUT,INPUT,NO BET,,,,
8558097,Tottenham Hotspur vs Aston Villa,1X,0.3390196704,0.2917887649,0.3390196704,0.025,0.02,0.045,61.02354068,9,0,0,0,0,N/A,0,70,70,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8558097,Tottenham Hotspur vs Aston Villa,X2,0.410120837,0.4593802606,0.4593802606,0.025,0.02,0.045,82.68844691,9,0,0,60,0,N/A,0,152,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8558097,Tottenham Hotspur vs Aston Villa,12,0.2508594926,0.2488309745,0.2508594926,0.025,0.02,0.045,50.17189852,5.4,0,60,0,0,N/A,0,116,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2508594926,0.2958594926,0.2488309745,0.2958594926
8566424,Stoke City vs Sheffield United,1X,0.3213106828,0.3329397875,0.3329397875,0.025,0.02,0.045,59.92916175,9,10,0,0,0,N/A,0,79,79,4,PRUDENT,PASS,N/A,PRUDENT,RIDICAT,,,,
8566424,Stoke City vs Sheffield United,X2,0.4237340974,0.3896103896,0.4237340974,0.025,0.02,0.045,76.27213754,9,0,0,60,0,N/A,0,145,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8566424,Stoke City vs Sheffield United,12,0.2549552198,0.2774498229,0.2774498229,0.025,0.02,0.045,55.48996458,5.4,0,60,0,0,N/A,0,121,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2549552198,0.2999552198,0.2774498229,0.2999552198
8566662,Millwall vs West Ham United,1X,0.3709323459,0.523138833,0.523138833,0.025,0.02,0.045,94.16498994,9,0,0,60,0,N/A,0,163,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8566662,Millwall vs West Ham United,X2,0.3838446804,0.2354124748,0.3838446804,0.025,0.02,0.045,69.09204247,9,0,0,0,0,N/A,0,78,78,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8566662,Millwall vs West Ham United,12,0.2452229738,0.2414486922,0.2452229738,0.025,0.02,0.045,49.04459475,5.4,0,60,0,0,N/A,0,114,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2452229738,0.2902229738,0.2414486922,0.2902229738
8566668,Cardiff City vs Charlton Athletic,1X,0.2930170889,0.2247191011,0.2930170889,0.025,0.02,0.045,52.74307601,9,0,0,0,0,N/A,0,62,62,4,PASS,PASS,N/A,PASS,RIDICAT,,,,
8566668,Cardiff City vs Charlton Athletic,X2,0.4629201692,0.5393258427,0.5393258427,0.025,0.02,0.045,97.07865169,9,0,0,60,0,N/A,0,166,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
8566668,Cardiff City vs Charlton Athletic,12,0.2440627419,0.2359550562,0.2440627419,0.025,0.02,0.045,48.81254838,5.4,0,60,0,0,N/A,0,114,100,5,N/A,N/A,FAIL,FAIL,NO BET,0.2440627419,0.2890627419,0.2359550562,0.2890627419
8551234,Guingamp vs Red Star,1X,0.3293309927,0.3042553191,0.3293309927,0.025,0.02,0.045,59.27957868,9,10,0,0,0,N/A,0,78,78,4,PRUDENT,PASS,N/A,PRUDENT,RIDICAT,,,,
8551234,Guingamp vs Red Star,X2,0.3972257147,0.414893617,0.414893617,0.025,0.02,0.045,74.68085106,9,0,0,60,0,N/A,0,144,100,5,FAIL,FAIL,N/A,FAIL,NO BET,,,,
