excel_row,Slot,Match_ID,League,Match,Mode,Line,Type,k,Release,G0,Mu,D,P_Raw,P_Calibrated,Failure_Model,Empirical_HA,Empirical_L10,Empirical_L20,Failure_Gate,Risk_Score,Risk_Level_Raw,Confidence_Final,Tail_Gate,Defensive_Candidate,Defensive_Gate,Risk_Level_FINAL,Verdict_FINAL,P_FINAL,Rank_In_Match,Eligible,Builder,Live_Eligible_Best,Rank_LIVE,Reason,Model_Signature,OOS_Status,N_HA_Empirical,N_L10_Empirical,N_L20_Empirical,Candidate_Confidence
6,1,REPLAY_1,E0,Brighton – Man United,REPLAY,"O3,5",OVER,3,READY,PASS,10.27195945945946,0.9007607192254518,0.9915371058651653,0.8929839161391997,0.008462894134834698,0,0,0,0.008462894134834698,9.972221126086591,1,90,PASS,NO,FAIL,2,PRUDENT,0.8929839161391997,1,1,YES,0,,Exemplu retrospectiv; exclus din Top LIVE,"CORNERS_NATIVE_V14|0.300000|0.450000|0.250000|10.000000|5.000000|3.000000|1.100000|1.350000|1.700000|2.250000|0.820000|20.000000|0.720000|65.000000|0.000000|0.080000|0.120000|0.050000|75.000000|10.000000|5.000000|10.000000|5.000000|2.000000|2.000000|0.550000|0.200000|0.150000|0.100000|0.900000|90.000000|20.000000|1.100000|5.000000|200.000000|0.900000|0.050000|0.080000|O3,5|1.000000|0.050000|0.080000",OOS PENDING,36,20,40,90
7,1,REPLAY_1,E0,Brighton – Man United,REPLAY,"O4,5",OVER,4,READY,PASS,10.27195945945946,0.9007607192254518,0.9754918504980158,0.8801557344731636,0.02450814950198421,0,0,0,0.02450814950198421,10.854710171279814,1,80,OOS PENDING,NO,FAIL,2,PRUDENT,0.8801557344731636,3,1,CONDITIONAL,0,,Exemplu retrospectiv; exclus din Top LIVE,"CORNERS_NATIVE_V14|0.300000|0.450000|0.250000|10.000000|5.000000|3.000000|1.100000|1.350000|1.700000|2.250000|0.820000|20.000000|0.720000|65.000000|0.000000|0.080000|0.120000|0.050000|75.000000|10.000000|5.000000|10.000000|5.000000|2.000000|2.000000|0.550000|0.200000|0.150000|0.100000|0.900000|90.000000|20.000000|1.100000|5.000000|200.000000|0.900000|0.050000|0.080000|O4,5|1.000000|NA|NA",OOS PENDING,36,20,40,90
8,1,REPLAY_1,E0,Brighton – Man United,REPLAY,"O5,5",OVER,5,READY,PASS,10.27195945945946,0.9007607192254518,0.9425286079684091,0.8538016220707431,0.05747139203159091,0.027777777777777776,0.05,0.025,0.05747139203159091,12.667688510408183,1,80,OOS PENDING,NO,FAIL,2,PRUDENT,0.8538016220707431,5,1,CONDITIONAL,0,,Exemplu retrospectiv; exclus din Top LIVE,"CORNERS_NATIVE_V14|0.300000|0.450000|0.250000|10.000000|5.000000|3.000000|1.100000|1.350000|1.700000|2.250000|0.820000|20.000000|0.720000|65.000000|0.000000|0.080000|0.120000|0.050000|75.000000|10.000000|5.000000|10.000000|5.000000|2.000000|2.000000|0.550000|0.200000|0.150000|0.100000|0.900000|90.000000|20.000000|1.100000|5.000000|200.000000|0.900000|0.050000|0.080000|O5,5|1.000000|NA|NA",OOS PENDING,36,20,40,90
9,1,REPLAY_1,E0,Brighton – Man United,REPLAY,"O6,5",OVER,6,READY,PASS,10.27195945945946,0.9007607192254518,0.886095759482334,0.808683559706126,0.11390424051766601,0.1111111111111111,0.1,0.05,0.11390424051766601,15.771495177142313,1,80,OOS PENDING,NO,FAIL,2,PRUDENT,0.808683559706126,7,1,CONDITIONAL,0,,Exemplu retrospectiv; exclus din Top LIVE,"CORNERS_NATIVE_V14|0.300000|0.450000|0.250000|10.000000|5.000000|3.000000|1.100000|1.350000|1.700000|2.250000|0.820000|20.000000|0.720000|65.000000|0.000000|0.080000|0.120000|0.050000|75.000000|10.000000|5.000000|10.000000|5.000000|2.000000|2.000000|0.550000|0.200000|0.150000|0.100000|0.900000|90.000000|20.000000|1.100000|5.000000|200.000000|0.900000|0.050000|0.080000|O6,5|1.000000|NA|NA",OOS PENDING,36,20,40,90
10,1,REPLAY_1,E0,Brighton – Man United,REPLAY,"O7,5",OVER,7,READY,PASS,10.27195945945946,0.9007607192254518,0.8032849120779367,0.7424762872063104,0.19671508792206327,0.25,0.15,0.175,0.25,23.256761948670686,2,80,OOS PENDING,NO,FAIL,2,PRUDENT,0.7424762872063104,10,1,CONDITIONAL,0,,Exemplu retrospectiv; exclus din Top LIVE,"CORNERS_NATIVE_V14|0.300000|0.450000|0.250000|10.000000|5.000000|3.000000|1.100000|1.350000|1.700000|2.250000|0.820000|20.000000|0.720000|65.000000|0.000000|0.080000|0.120000|0.050000|75.000000|10.000000|5.000000|10.000000|5.000000|2.000000|2.000000|0.550000|0.200000|0.150000|0.100000|0.900000|90.000000|20.000000|1.100000|5.000000|200.000000|0.900000|0.050000|0.080000|O7,5|1.000000|NA|NA",OOS PENDING,36,20,40,90
11,1,REPLAY_1,E0,Brighton – Man United,REPLAY,"O8,5",OVER,8,READY,PASS,10.27195945945946,0.9007607192254518,0.6969562036602551,0.6574664848263739,0.3030437963397449,0.4722222222222222,0.35,0.375,0.4722222222222222,35.47898417089291,2,80,OOS PENDING,NO,FAIL,2,WATCH,0.5277777777777778,,0,NO,0,,P finala sub prag,"CORNERS_NATIVE_V14|0.300000|0.450000|0.250000|10.000000|5.000000|3.000000|1.100000|1.350000|1.700000|2.250000|0.820000|20.000000|0.720000|65.000000|0.000000|0.080000|0.120000|0.050000|75.000000|10.000000|5.000000|10.000000|5.000000|2.000000|2.000000|0.550000|0.200000|0.150000|0.100000|0.900000|90.000000|20.000000|1.100000|5.000000|200.000000|0.900000|0.050000|0.080000|O8,5|1.000000|NA|NA",OOS PENDING,36,20,40,90
12,1,REPLAY_1,E0,Brighton – Man United,REPLAY,"U10,5",UNDER,10,READY,PASS,10.27195945945946,0.9007607192254518,0.5490562286051273,0.5392204547697993,0.45094377139487274,0.4444444444444444,0.55,0.45,0.55,39.756761948670686,2,80,OOS PENDING,NO,FAIL,2,WATCH,0.44999999999999996,,0,NO,0,,P finala sub prag,"CORNERS_NATIVE_V14|0.300000|0.450000|0.250000|10.000000|5.000000|3.000000|1.100000|1.350000|1.700000|2.250000|0.820000|20.000000|0.720000|65.000000|0.000000|0.080000|0.120000|0.050000|75.000000|10.000000|5.000000|10.000000|5.000000|2.000000|2.000000|0.550000|0.200000|0.150000|0.100000|0.900000|90.000000|20.000000|1.100000|5.000000|200.000000|0.900000|0.050000|0.080000|U10,5|1.000000|NA|NA",OOS PENDING,36,20,40,90
13,1,REPLAY_1,E0,Brighton – Man United,REPLAY,"U11,5",UNDER,11,READY,PASS,10.27195945945946,0.9007607192254518,0.6654621932043587,0.6322870234668848,0.33453780679564127,0.2777777777777778,0.5,0.375,0.5,37.006761948670686,2,80,OOS PENDING,NO,FAIL,2,WATCH,0.5,,0,NO,0,,P finala sub prag,"CORNERS_NATIVE_V14|0.300000|0.450000|0.250000|10.000000|5.000000|3.000000|1.100000|1.350000|1.700000|2.250000|0.820000|20.000000|0.720000|65.000000|0.000000|0.080000|0.120000|0.050000|75.000000|10.000000|5.000000|10.000000|5.000000|2.000000|2.000000|0.550000|0.200000|0.150000|0.100000|0.900000|90.000000|20.000000|1.100000|5.000000|200.000000|0.900000|0.050000|0.080000|U11,5|1.000000|NA|NA",OOS PENDING,36,20,40,90
14,1,REPLAY_1,E0,Brighton – Man United,REPLAY,"U12,5",UNDER,12,READY,PASS,10.27195945945946,0.9007607192254518,0.7651053056379069,0.7119516918575066,0.2348946943620931,0.19444444444444445,0.3,0.2,0.3,26.006761948670682,2,80,OOS PENDING,NO,FAIL,2,WATCH,0.7,,0,NO,0,,P finala sub prag,"CORNERS_NATIVE_V14|0.300000|0.450000|0.250000|10.000000|5.000000|3.000000|1.100000|1.350000|1.700000|2.250000|0.820000|20.000000|0.720000|65.000000|0.000000|0.080000|0.120000|0.050000|75.000000|10.000000|5.000000|10.000000|5.000000|2.000000|2.000000|0.550000|0.200000|0.150000|0.100000|0.900000|90.000000|20.000000|1.100000|5.000000|200.000000|0.900000|0.050000|0.080000|U12,5|1.000000|NA|NA",OOS PENDING,36,20,40,90
15,1,REPLAY_1,E0,Brighton – Man United,REPLAY,"U13,5",UNDER,13,READY,PASS,10.27195945945946,0.9007607192254518,0.8438383834326583,0.7748987875544102,0.15616161656734173,0.1388888888888889,0.25,0.15,0.25,23.256761948670686,2,80,OOS PENDING,NO,FAIL,2,PRUDENT,0.75,9,1,CONDITIONAL,0,,Exemplu retrospectiv; exclus din Top LIVE,"CORNERS_NATIVE_V14|0.300000|0.450000|0.250000|10.000000|5.000000|3.000000|1.100000|1.350000|1.700000|2.250000|0.820000|20.000000|0.720000|65.000000|0.000000|0.080000|0.120000|0.050000|75.000000|10.000000|5.000000|10.000000|5.000000|2.000000|2.000000|0.550000|0.200000|0.150000|0.100000|0.900000|90.000000|20.000000|1.100000|5.000000|200.000000|0.900000|0.050000|0.080000|U13,5|1.000000|NA|NA",OOS PENDING,36,20,40,90
