sheet,header_row,column,name,range,type_inferred,source,formula_cells,literal_cells,example_formula,example_cell,example_cached,number_format
Dashboard,10,A,Rang,A11:A20,Număr întreg,Rezultat formulă,10,0,"=IF(IFERROR(MATCH(1,$P$26:$P$125,0),0)=0,"""",1)",A11,,General
Dashboard,10,B,Meci,B11:B20,Text,Rezultat formulă,10,0,"=IF(A11="""","""",INDEX($B$26:$B$125,MATCH(A11,$P$26:$P$125,0)))",B11,,General
Dashboard,10,C,Linie,C11:C20,Text,Rezultat formulă,10,0,"=IF(A11="""","""",INDEX($F$26:$F$125,MATCH(A11,$P$26:$P$125,0)))",C11,,General
Dashboard,10,D,P finală,D11:D20,Float probabilitate 0–1,Rezultat formulă,10,0,"=IF(A11="""","""",INDEX($H$26:$H$125,MATCH(A11,$P$26:$P$125,0)))",D11,,0.0%
Dashboard,10,E,Risk Level,E11:E20,Număr întreg,Rezultat formulă,10,0,"=IF(A11="""","""",INDEX($L$26:$L$125,MATCH(A11,$P$26:$P$125,0)))",E11,,General
Dashboard,10,F,Verdict,F11:F20,Text,Rezultat formulă,10,0,"=IF(A11="""","""",INDEX($G$26:$G$125,MATCH(A11,$P$26:$P$125,0)))",F11,,General
Dashboard,10,G,Confidence,G11:G20,Număr întreg,Rezultat formulă,10,0,"=IF(A11="""","""",INDEX($M$26:$M$125,MATCH(A11,$P$26:$P$125,0)))",G11,,General
Dashboard,10,H,Motiv,H11:H20,Text,Rezultat formulă,10,0,"=IF(A11="""","""",INDEX($I$26:$I$125,MATCH(A11,$P$26:$P$125,0)))",H11,,General
Dashboard,25,A,Match_ID,A26:A125,Text,Rezultat formulă,100,0,"=IF('Motor_Meciuri'!A6="""","""",'Motor_Meciuri'!A6)",A26,REPLAY_1,General
Dashboard,25,B,Meci,B26:B125,Text,Rezultat formulă,100,0,"=IF('Motor_Meciuri'!A6="""","""",'Motor_Meciuri'!D6)",B26,Brighton – Man United,General
Dashboard,25,C,Mod,C26:C125,Text,Rezultat formulă,100,0,"=IF('Motor_Meciuri'!A6="""","""",'Motor_Meciuri'!E6)",C26,REPLAY,General
Dashboard,25,D,Release,D26:D125,Text,Rezultat formulă,100,0,"=IF('Motor_Meciuri'!A6="""","""",'Motor_Meciuri'!H6)",D26,READY,General
Dashboard,25,E,G0,E26:E125,Text,Rezultat formulă,100,0,"=IF('Motor_Meciuri'!A6="""","""",'Motor_Meciuri'!I6)",E26,PASS,General
Dashboard,25,F,Linie selectată,F26:F125,Text,Rezultat formulă,100,0,"=IF(K26=0,"""",INDEX('Analiza_Linii'!F6:F19,K26))",F26,"O3,5",General
Dashboard,25,G,Verdict,G26:G125,Text,Rezultat formulă,100,0,"=IF(A26="""","""",IF(D26<>""READY"",""NOT RELEASED"",IF(K26=0,IF(E26=""FAIL"",""NO BET"",""WATCH / NO BET""),INDEX('Analiza_Linii'!AA6:AA19,K26))))",G26,PRUDENT,General
Dashboard,25,H,P finală,H26:H125,Float probabilitate 0–1,Rezultat formulă,100,0,"=IF(K26=0,"""",INDEX('Analiza_Linii'!AB6:AB19,K26))",H26,0.8929839161391997,0.0%
Dashboard,25,I,Motiv,I26:I125,Text,Rezultat formulă,100,0,"=IF(A26="""","""",IF(E26<>""PASS"",'Motor_Meciuri'!J6,IF(K26=0,""Nicio linie eligibila; vezi motivele din Analiza_Linii"",INDEX('Analiza_Linii'!AH6:AH19,K26))))",I26,Exemplu retrospectiv; exclus din Top LIVE,General
Dashboard,25,K,Index linie,K26:K125,Număr întreg,Rezultat formulă,100,0,"=IF(A26="""",0,IFERROR(MATCH(1,'Analiza_Linii'!AC6:AC19,0),0))",K26,1,General
Dashboard,25,L,Risk Level,L26:L125,Număr întreg,Rezultat formulă,100,0,"=IF(K26=0,"""",INDEX('Analiza_Linii'!Z6:Z19,K26))",L26,2,General
Dashboard,25,M,Confidence,M26:M125,Număr întreg,Rezultat formulă,100,0,"=IF(K26=0,"""",INDEX('Analiza_Linii'!V6:V19,K26))",M26,90,General
Dashboard,25,N,Risk Score,N26:N125,Float,Rezultat formulă,100,0,"=IF(K26=0,"""",INDEX('Analiza_Linii'!T6:T19,K26))",N26,9.972221126086591,General
Dashboard,25,O,LIVE eligibil,O26:O125,Număr întreg,Rezultat formulă,100,0,"=IF(AND(C26=""LIVE"",K26>0),1,0)",O26,0,General
Dashboard,25,P,Rank LIVE,P26:P125,Număr întreg,Rezultat formulă,100,0,"=IF(O26<>1,"""",COUNTIFS($O$26:$O$125,1,$L$26:$L$125,""<""&L26)+COUNTIFS($O$26:$O$125,1,$L$26:$L$125,L26,$H$26:$H$125,"">""&H26)+COUNTIFS($O$26:$O$125,1,$L$26:$L$125,L26,$H$26:$H$125,H26,$M$26:$M$125,"">""&M26)+COUNTIFS($O$26:O26,1,$L$26:L26,L26,$H$26:H26,H26,$M$26:M26,M26))",P26,,General
Analiza_Linii,5,A,Slot,A6:A1405,Număr întreg,Input sau constantă literală,0,1400,,A6,1,General
Analiza_Linii,5,B,Match_ID,B6:B1405,Text,Rezultat formulă,1400,0,"=IF('Motor_Meciuri'!A6="""","""",'Motor_Meciuri'!A6)",B6,REPLAY_1,General
Analiza_Linii,5,C,League,C6:C1405,Text,Rezultat formulă,1400,0,"=IF(B6="""","""",'Motor_Meciuri'!B6)",C6,E0,General
Analiza_Linii,5,D,Match,D6:D1405,Text,Rezultat formulă,1400,0,"=IF(B6="""","""",'Motor_Meciuri'!D6)",D6,Brighton – Man United,General
Analiza_Linii,5,E,Mode,E6:E1405,Text,Rezultat formulă,1400,0,"=IF(B6="""","""",'Motor_Meciuri'!E6)",E6,REPLAY,General
Analiza_Linii,5,F,Line,F6:F1405,Text,Input sau constantă literală,0,1400,,F6,"O3,5",General
Analiza_Linii,5,G,Type,G6:G1405,Text,Input sau constantă literală,0,1400,,G6,OVER,General
Analiza_Linii,5,H,k,H6:H1405,Număr întreg,Input sau constantă literală,0,1400,,H6,3,General
Analiza_Linii,5,I,Release,I6:I1405,Text,Rezultat formulă,1400,0,"=IF(B6="""","""",'Motor_Meciuri'!H6)",I6,READY,General
Analiza_Linii,5,J,G0,J6:J1405,Text,Rezultat formulă,1400,0,"=IF(B6="""","""",'Motor_Meciuri'!I6)",J6,PASS,General
Analiza_Linii,5,K,Mu,K6:K1405,Float,Rezultat formulă,1400,0,"=IF(J6<>""PASS"","""",'Motor_Meciuri'!BD6)",K6,10.27195945945946,0.00
Analiza_Linii,5,L,D,L6:L1405,Float,Rezultat formulă,1400,0,"=IF(J6<>""PASS"","""",'Motor_Meciuri'!AU6)",L6,0.9007607192254518,0.00
Analiza_Linii,5,M,P_Raw,M6:M1405,Float probabilitate 0–1,Rezultat formulă,1400,0,"=IF(NOT(AND(J6=""PASS"",'Calibrare_Linii'!U6=""VALID"")),"""",1-'Distributie'!AA6)",M6,0.9915371058651653,0.0%
